transport_mode,origin_region,destination_region,route_distance_km,planned_duration_hours,elapsed_transit_hours,transit_progress_pct,priority_level,carrier_reliability_score,origin_port_congestion_index,dest_port_congestion_index,weather_severity_index,customs_inspection_risk,seasonal_disruption_factor,disrupted
Road,North_America,Europe,812.3,20.2,7.6,0.3762,Standard,0.99,57.7,21.9,16.1,0.4827,0.2653,0
Air,Latin_America,North_America,4145.8,40.2,20.9,0.5199,High,0.7996,61.3,11.6,24.3,0.5114,0.289,1
Road,East_Asia,East_Asia,1105.5,24.6,9.9,0.4024,Standard,0.7719,31.9,95.0,43.0,0.1339,0.6743,1
Rail,East_Asia,Europe,2723.2,100.8,48.6,0.4821,Standard,0.8119,9.2,28.5,14.7,0.2942,0.1482,0
Road,North_America,North_America,239.2,10.8,10.6,0.9815,Urgent,0.99,47.5,21.9,18.0,0.0854,0.1019,1
Air,Middle_East,Europe,5393.2,25.9,17.0,0.6564,Standard,0.8631,40.9,11.9,8.6,0.2116,0.3819,1
Air,East_Asia,Latin_America,7599.6,37.0,18.3,0.4946,Standard,0.9628,20.3,28.4,46.5,0.2322,0.8424,1
Ocean,Europe,Latin_America,15605.6,540.0,431.8,0.7996,Standard,0.8304,71.9,41.5,19.2,0.6045,0.7406,1
Road,East_Asia,East_Asia,868.8,26.7,4.3,0.161,Standard,0.7535,11.4,23.8,29.8,0.1146,0.9343,1
Ocean,South_Asia,Latin_America,6383.1,294.7,221.4,0.7513,Standard,0.99,37.2,15.9,70.2,0.4359,0.5545,1
Road,North_America,North_America,1523.6,34.4,17.0,0.4942,Standard,0.99,43.9,17.0,67.1,0.0979,0.2928,1
Ocean,South_Asia,North_America,16323.3,595.9,363.6,0.6102,Standard,0.6542,39.4,38.0,39.4,0.5897,0.3308,1
Road,East_Asia,East_Asia,871.0,17.7,15.7,0.887,Standard,0.9217,35.7,78.4,10.4,0.1825,0.6218,1
Ocean,South_Asia,Latin_America,12404.7,468.0,119.9,0.2562,Standard,0.8832,22.3,30.5,41.2,0.4318,0.5628,1
Air,Southeast_Asia,North_America,7102.2,29.0,3.2,0.1103,Standard,0.8815,54.1,54.8,39.0,0.2238,0.4591,1
Air,South_Asia,North_America,5524.4,36.0,5.3,0.1472,High,0.848,30.8,14.9,22.6,0.4081,0.4334,1
Ocean,South_Asia,Middle_East,7817.1,285.0,275.5,0.9667,Standard,0.8875,52.7,64.1,33.9,0.1118,0.1194,1
Ocean,Europe,Europe,9185.1,358.9,235.3,0.6556,High,0.7654,30.9,45.4,21.7,0.1535,0.5588,1
Ocean,Southeast_Asia,Oceania,12608.9,468.1,372.7,0.7962,Standard,0.7274,13.1,17.1,36.5,0.9447,0.732,1
Air,Middle_East,North_America,6800.4,23.9,12.0,0.5021,High,0.9273,41.7,28.7,39.3,0.1963,0.8669,1
Rail,Europe,Europe,4974.5,124.2,112.6,0.9066,Standard,0.9125,15.4,69.5,19.0,0.206,0.6707,1
Road,East_Asia,North_America,1636.5,29.7,4.6,0.1549,Standard,0.7415,33.4,18.6,53.5,0.4251,0.8462,1
Ocean,Southeast_Asia,North_America,9756.7,378.5,258.2,0.6822,Standard,0.7435,29.3,45.9,15.7,0.3828,0.3808,1
Ocean,South_Asia,Latin_America,14926.0,505.7,191.3,0.3783,High,0.99,64.3,17.2,24.2,0.7413,0.8908,1
Road,Europe,Europe,2260.9,40.6,34.4,0.8473,Standard,0.9278,57.2,52.8,17.6,0.1376,0.1339,1
Rail,Europe,Europe,2985.0,80.2,37.8,0.4713,Standard,0.836,25.2,8.3,77.8,0.0654,0.6708,1
Air,South_Asia,Oceania,8295.1,31.4,9.4,0.2994,Standard,0.9791,69.7,27.1,45.1,0.2726,0.2923,1
Ocean,Europe,North_America,8199.2,324.6,133.0,0.4097,High,0.6395,17.2,34.4,24.3,0.251,0.4365,1
Rail,Europe,Europe,3868.2,91.4,59.6,0.6521,Standard,0.9894,28.1,80.5,73.7,0.139,0.0673,1
Road,North_America,North_America,1564.7,29.2,18.8,0.6438,Standard,0.9526,44.7,12.3,5.8,0.0819,0.2427,0
Ocean,Europe,Latin_America,8513.8,318.1,80.8,0.254,Standard,0.8812,20.0,29.9,42.8,0.3309,0.5812,1
Rail,Europe,Europe,2928.8,106.4,85.8,0.8064,Standard,0.9051,46.6,49.9,43.3,0.0774,0.566,1
Air,East_Asia,North_America,6329.8,31.5,4.0,0.127,Standard,0.9064,66.3,12.1,25.2,0.6474,0.8689,1
Ocean,East_Asia,Latin_America,12014.1,421.9,126.7,0.3003,Standard,0.8489,33.4,100.0,48.7,0.3559,0.9007,1
Rail,East_Asia,East_Asia,4102.4,108.1,57.8,0.5347,Standard,0.8568,28.1,57.5,13.2,0.02,0.3121,1
Ocean,South_Asia,Oceania,14177.7,505.1,402.0,0.7959,Urgent,0.7645,18.7,33.0,12.8,0.4859,0.348,1
Rail,East_Asia,Europe,2655.9,97.1,8.4,0.0865,Standard,0.8963,41.8,30.8,16.0,0.1087,0.8526,1
Ocean,East_Asia,Latin_America,9657.4,364.5,208.4,0.5717,Standard,0.9352,90.8,30.9,12.2,0.6527,0.4352,1
Ocean,Southeast_Asia,Europe,10014.1,392.3,101.4,0.2585,Standard,0.99,34.9,52.6,32.2,0.3835,0.9715,1
Air,North_America,Oceania,7186.1,22.7,14.9,0.6564,Standard,0.9321,37.1,12.3,31.2,0.0541,0.2004,1
Air,South_Asia,Europe,3216.8,35.7,20.2,0.5658,Standard,0.8641,55.3,63.2,54.6,0.3326,0.3224,1
Road,East_Asia,East_Asia,1692.7,29.1,8.6,0.2955,Standard,0.99,15.1,45.5,23.1,0.0859,0.4397,1
Ocean,Europe,Europe,14478.5,535.1,70.2,0.1312,Standard,0.9056,27.3,64.6,61.1,0.0785,0.8733,1
Road,East_Asia,East_Asia,1989.8,40.0,9.7,0.2425,Standard,0.8386,11.2,13.3,9.1,0.2354,0.6075,0
Ocean,Southeast_Asia,Latin_America,8540.5,331.7,94.9,0.2861,Standard,0.7388,41.7,39.0,17.2,0.5514,0.7269,1
Road,East_Asia,East_Asia,593.1,21.0,6.7,0.319,Standard,0.99,12.7,39.5,60.3,0.068,0.0879,0
Ocean,South_Asia,North_America,8114.1,326.0,36.7,0.1126,Standard,0.8422,31.7,77.0,30.9,0.5901,0.5647,1
Road,North_America,North_America,150.0,8.2,5.7,0.6951,Standard,0.8701,22.0,23.4,11.0,0.1107,0.1293,0
Rail,Europe,Europe,3106.9,84.6,76.3,0.9019,High,0.99,55.2,35.6,30.6,0.1451,0.7629,1
Air,South_Asia,North_America,7555.7,32.4,16.2,0.5,Standard,0.99,19.6,30.6,73.5,0.4558,0.7174,1
Road,North_America,North_America,1963.6,42.0,33.0,0.7857,Urgent,0.8838,46.3,40.3,25.2,0.1704,0.8352,1
Air,North_America,Europe,8405.4,39.6,23.4,0.5909,Standard,0.9418,77.1,85.0,39.5,0.1648,0.6973,1
Rail,South_Asia,East_Asia,3555.2,117.2,27.8,0.2372,Standard,0.8027,77.1,33.6,15.7,0.7314,0.7418,1
Air,Europe,Middle_East,5972.9,34.4,4.1,0.1192,Urgent,0.774,47.7,64.6,14.9,0.4646,0.0899,1
Ocean,South_Asia,Oceania,10993.9,429.0,156.1,0.3639,Urgent,0.99,31.2,81.7,24.2,0.193,0.2537,1
Rail,South_Asia,South_Asia,4875.1,124.1,61.9,0.4988,Urgent,0.8536,5.2,74.6,25.3,0.1745,0.7233,1
Ocean,Europe,North_America,11502.8,405.6,292.6,0.7214,High,0.99,21.3,27.0,22.2,0.5393,0.8493,1
Ocean,Europe,Europe,15699.4,538.5,421.2,0.7822,High,0.9209,17.9,40.6,46.5,0.2137,0.7934,1
Road,North_America,North_America,1343.9,29.9,28.1,0.9398,Standard,0.7319,9.7,48.6,15.1,0.0711,0.4234,1
Air,South_Asia,Europe,5587.8,41.7,17.3,0.4149,High,0.99,26.0,21.2,10.9,0.4859,0.4681,1
Rail,North_America,Europe,2238.2,58.2,22.7,0.39,High,0.9401,53.1,26.5,37.4,0.4252,0.7036,1
Rail,South_Asia,South_Asia,6498.9,173.5,27.3,0.1573,Standard,0.8634,58.7,46.3,14.3,0.0926,0.1182,1
Ocean,East_Asia,Europe,17169.6,612.0,478.9,0.7825,High,0.8191,10.9,36.8,34.1,0.4838,0.5965,1
Ocean,Southeast_Asia,Oceania,9548.5,359.4,72.2,0.2009,Standard,0.7362,32.6,6.1,44.0,0.2484,0.7932,1
Air,East_Asia,Europe,5761.9,32.6,23.2,0.7117,Urgent,0.7118,41.5,82.7,49.9,0.3727,0.1143,1
Air,East_Asia,Oceania,5624.1,34.0,23.5,0.6912,Standard,0.99,35.6,82.7,15.7,0.1898,0.347,1
Air,Europe,Oceania,4014.1,21.3,9.1,0.4272,Standard,0.8553,56.4,48.2,30.8,0.5253,0.6703,1
Rail,Europe,Europe,3295.8,103.6,21.0,0.2027,Standard,0.99,12.6,29.7,40.6,0.0735,0.5973,1
Air,Latin_America,Middle_East,4974.3,37.9,20.3,0.5356,Standard,0.7391,38.9,53.8,28.5,0.1356,0.1895,1
Ocean,Southeast_Asia,Middle_East,10771.3,407.2,40.9,0.1004,High,0.9335,34.6,36.2,40.7,0.6956,0.4779,1
Ocean,East_Asia,North_America,7314.3,297.3,94.5,0.3179,Urgent,0.9344,72.6,31.8,12.8,0.4911,0.5381,1
Ocean,East_Asia,Latin_America,7328.6,298.4,97.8,0.3277,Standard,0.5609,45.3,52.9,12.6,0.5282,0.7561,1
Rail,East_Asia,East_Asia,4055.9,99.1,74.9,0.7558,Standard,0.91,63.0,53.8,24.7,0.112,0.3476,1
Road,East_Asia,North_America,191.7,16.4,4.2,0.2561,Standard,0.7458,28.6,27.7,25.1,0.5302,0.3171,1
Road,East_Asia,East_Asia,1494.9,32.1,6.4,0.1994,Standard,0.7689,63.5,46.9,26.6,0.1892,0.1843,1
Road,Europe,Europe,1398.1,32.1,24.8,0.7726,Urgent,0.9071,22.2,14.4,22.6,0.0779,0.3926,0
Road,Europe,North_America,1348.2,30.3,5.4,0.1782,Standard,0.7289,24.0,12.2,36.1,0.7176,0.0644,1
Ocean,Southeast_Asia,Latin_America,19167.0,672.3,309.9,0.461,Urgent,0.819,78.8,45.1,60.7,0.1934,0.3863,1
Rail,Europe,Europe,3277.6,97.1,88.7,0.9135,High,0.76,55.1,65.8,10.7,0.1567,0.4155,1
Air,North_America,Oceania,5294.5,39.2,5.8,0.148,High,0.8112,34.6,13.2,9.0,0.683,0.4746,1
Air,Latin_America,Middle_East,9935.5,28.5,15.2,0.5333,Standard,0.72,33.3,44.5,14.3,0.212,0.1808,1
Road,North_America,North_America,2761.0,48.3,19.9,0.412,Standard,0.7976,24.1,33.3,4.5,0.0987,0.6818,1
Road,Europe,Europe,356.2,11.1,8.1,0.7297,High,0.9406,19.9,26.2,17.0,0.0648,0.9793,1
Road,Latin_America,Latin_America,1413.6,28.2,16.8,0.5957,Standard,0.8005,7.6,32.9,35.4,0.0981,0.194,1
Ocean,South_Asia,Oceania,8779.6,345.8,197.8,0.572,High,0.8255,12.2,47.3,70.1,0.5457,0.7086,1
Road,East_Asia,East_Asia,944.3,19.9,7.2,0.3618,Standard,0.99,38.3,15.1,8.3,0.1032,0.6492,0
Rail,South_Asia,South_Asia,2518.1,65.7,59.7,0.9087,Urgent,0.99,14.3,30.2,14.6,0.1704,0.7367,1
Air,East_Asia,Latin_America,7811.5,41.8,36.3,0.8684,Standard,0.6118,26.3,11.9,35.3,0.3471,0.8646,1
Road,Europe,Europe,1807.0,35.3,30.5,0.864,Standard,0.7123,12.7,18.4,26.3,0.1056,0.4646,1
Ocean,Southeast_Asia,North_America,16370.4,554.4,89.0,0.1605,Standard,0.7362,19.2,47.6,8.7,0.199,0.2206,1
Ocean,Southeast_Asia,Europe,18140.4,631.2,519.4,0.8229,High,0.9139,34.1,20.2,23.6,0.4271,0.2717,1
Road,Latin_America,Latin_America,1059.4,28.2,15.1,0.5355,Standard,0.6543,36.2,43.1,17.9,0.0703,0.3975,1
Ocean,Southeast_Asia,Europe,7802.0,316.9,62.5,0.1972,Standard,0.9252,34.1,51.5,11.4,0.4235,0.4043,1
Rail,North_America,Europe,2736.7,89.2,74.3,0.833,Standard,0.8473,19.3,17.2,94.8,0.2505,0.154,1
Road,Europe,Europe,1768.3,36.4,19.7,0.5412,Urgent,0.9419,15.5,40.7,40.4,0.2187,0.0655,0
Ocean,East_Asia,North_America,12043.5,412.7,40.0,0.0969,Standard,0.9153,14.5,22.9,9.5,0.2648,0.9327,1
Ocean,Europe,Latin_America,11144.0,438.7,389.1,0.8869,High,0.8744,75.7,36.4,30.9,0.5254,0.9605,1
Ocean,Southeast_Asia,Latin_America,9276.5,369.0,211.8,0.574,Standard,0.8004,42.4,49.0,27.6,0.411,0.1129,1
Ocean,Europe,Oceania,15666.1,583.7,355.6,0.6092,High,0.8134,50.9,30.8,14.5,0.3624,0.5639,1
Road,Latin_America,Latin_America,1243.4,30.5,5.0,0.1639,Urgent,0.8425,14.7,30.1,9.3,0.0988,0.5862,0
Road,Europe,Europe,818.2,23.7,17.2,0.7257,Standard,0.9505,40.1,18.2,2.9,0.1137,0.3387,0
Rail,East_Asia,East_Asia,2536.5,71.7,56.1,0.7824,Standard,0.6784,28.4,22.7,30.2,0.1156,0.1399,1
Ocean,Europe,Europe,14519.8,544.8,95.8,0.1758,Standard,0.8294,15.9,30.8,31.4,0.1186,0.535,1
Road,Europe,Europe,1910.1,35.2,18.4,0.5227,Standard,0.8692,55.4,16.5,52.3,0.121,0.9112,1
Air,Latin_America,Middle_East,9106.2,46.4,12.6,0.2716,Standard,0.7154,39.6,49.1,16.2,0.4942,0.5197,1
Rail,South_Asia,South_Asia,6088.4,154.8,67.6,0.4367,High,0.7839,38.6,53.3,17.1,0.1133,0.3883,1
Ocean,South_Asia,Europe,11465.2,413.5,214.6,0.519,High,0.9045,7.3,13.6,21.4,0.5496,0.5331,1
Air,East_Asia,Oceania,7187.7,37.8,24.2,0.6402,High,0.6912,35.4,45.5,30.0,0.2454,0.3473,1
Road,North_America,North_America,646.4,24.1,10.3,0.4274,High,0.9855,30.4,15.4,16.8,0.2289,0.5018,0
Ocean,South_Asia,North_America,8101.9,309.4,190.6,0.616,Standard,0.99,100.0,57.6,48.6,0.39,0.5983,1
Road,East_Asia,East_Asia,150.0,9.3,1.0,0.1075,High,0.7814,16.6,65.5,6.4,0.138,0.5546,1
Ocean,South_Asia,Middle_East,10856.7,423.7,287.9,0.6795,Standard,0.7318,42.1,18.0,33.7,0.2629,0.3508,1
Rail,East_Asia,Europe,1786.5,81.5,23.6,0.2896,Standard,0.8942,60.0,25.1,15.6,0.1205,0.6417,1
Road,East_Asia,East_Asia,1630.5,30.9,24.4,0.7896,High,0.8421,50.8,54.0,16.1,0.0727,0.3041,1
Air,North_America,Middle_East,6554.4,39.1,20.8,0.532,Standard,0.8408,100.0,24.5,15.4,0.41,0.3153,1
Air,Southeast_Asia,North_America,6251.8,31.1,6.1,0.1961,High,0.6374,18.7,18.5,56.2,0.6161,0.3503,1
Road,Europe,Europe,2162.7,42.6,13.2,0.3099,High,0.9317,70.9,55.5,75.9,0.0368,0.8415,1
Rail,North_America,North_America,2820.6,89.9,31.7,0.3526,Standard,0.888,73.5,17.6,22.6,0.0895,0.6656,1
Rail,Europe,East_Asia,897.3,48.1,27.5,0.5717,High,0.7645,34.5,29.9,56.0,0.4132,0.9105,1
Air,North_America,Middle_East,8967.3,39.2,13.3,0.3393,Standard,0.972,48.1,44.3,26.3,0.4911,0.254,1
Ocean,East_Asia,North_America,12001.1,456.6,431.9,0.9459,Standard,0.8006,32.8,34.4,12.8,0.6298,0.9256,1
Road,Europe,Europe,1623.4,29.0,17.8,0.6138,Standard,0.8397,12.6,49.1,31.5,0.1072,0.7989,1
Ocean,Southeast_Asia,Latin_America,13033.4,494.9,444.1,0.8974,High,0.7476,24.0,51.2,15.4,0.7366,0.3388,1
Ocean,Southeast_Asia,Europe,5296.3,204.9,145.2,0.7086,High,0.89,23.2,38.8,6.7,0.3815,0.4654,1
Road,Europe,North_America,1080.4,22.2,12.2,0.5495,Standard,0.7544,75.2,16.1,7.6,0.576,0.9076,1
Rail,South_Asia,South_Asia,5180.9,122.3,22.1,0.1807,Standard,0.9425,21.9,21.3,37.8,0.1478,0.3353,1
Air,East_Asia,Europe,8942.0,47.5,42.4,0.8926,Standard,0.8736,30.1,100.0,4.0,0.4065,0.4964,1
Ocean,East_Asia,Middle_East,8899.7,321.6,19.3,0.06,High,0.7388,27.5,15.8,49.3,0.7023,0.4069,1
Air,Middle_East,Latin_America,5085.1,41.3,12.3,0.2978,Standard,0.7461,54.2,12.4,62.3,0.1245,0.1904,1
Ocean,Southeast_Asia,Latin_America,14817.9,502.0,211.5,0.4213,Standard,0.9274,36.1,15.4,31.0,0.3515,0.6229,1
Ocean,Europe,Europe,15446.7,557.2,477.7,0.8573,High,0.7637,41.9,55.6,26.9,0.1689,0.6404,1
Ocean,East_Asia,Middle_East,8492.7,340.2,316.3,0.9297,Standard,0.9344,25.3,39.5,29.6,0.3717,0.3787,1
Rail,South_Asia,South_Asia,4411.1,125.4,37.0,0.2951,Urgent,0.99,26.6,48.4,4.9,0.1279,0.5835,1
Ocean,East_Asia,Oceania,12625.1,467.9,329.6,0.7044,High,0.8409,56.1,27.3,23.2,0.5702,0.4967,1
Ocean,Southeast_Asia,Europe,8466.4,322.1,227.8,0.7072,High,0.8324,17.6,8.6,59.9,0.3001,0.3697,1
Rail,South_Asia,South_Asia,3977.1,125.6,64.1,0.5104,Standard,0.9711,100.0,50.5,28.6,0.1182,0.7196,1
Road,North_America,North_America,1641.7,31.4,3.6,0.1146,Standard,0.9454,25.9,34.1,73.9,0.1234,0.0944,1
Ocean,East_Asia,Middle_East,9839.5,349.1,89.3,0.2558,High,0.99,87.9,18.0,20.0,0.6507,0.3666,1
Ocean,Southeast_Asia,North_America,13996.2,501.5,329.9,0.6578,Urgent,0.8711,38.3,44.7,68.8,0.4543,0.4079,1
Rail,East_Asia,East_Asia,3112.8,93.7,67.7,0.7225,Urgent,0.9861,41.3,34.3,8.9,0.0824,0.8534,1
Air,South_Asia,Latin_America,6638.5,21.2,15.9,0.75,Urgent,0.771,45.1,25.1,18.5,0.4234,0.5687,1
Ocean,Southeast_Asia,North_America,10874.9,407.6,384.8,0.9441,Standard,0.7866,60.0,61.9,26.5,0.3835,0.5105,1
Ocean,Europe,North_America,8918.8,348.6,338.5,0.971,Standard,0.9377,50.9,47.8,21.5,0.4433,0.2094,1
Ocean,South_Asia,North_America,12563.6,459.8,423.3,0.9206,Standard,0.8299,66.8,31.5,33.6,0.5048,0.0718,1
Road,Europe,North_America,1728.8,38.2,34.4,0.9005,High,0.7032,22.7,26.3,20.0,0.1764,0.2087,1
Ocean,Europe,Europe,8009.6,328.5,32.1,0.0977,Urgent,0.9723,25.5,51.2,43.7,0.02,0.1167,1
Air,North_America,Europe,4840.5,31.5,9.9,0.3143,Standard,0.9725,6.7,17.6,11.7,0.4473,0.247,0
Road,Latin_America,Latin_America,833.5,16.5,6.3,0.3818,Standard,0.7789,58.4,55.2,26.0,0.1431,0.1551,1
Ocean,South_Asia,Oceania,11921.9,458.0,40.4,0.0882,Standard,0.7043,14.5,48.3,29.4,0.1556,0.7878,1
Road,Europe,Latin_America,1690.8,35.4,17.6,0.4972,Standard,0.8217,42.3,26.1,4.8,0.2843,0.908,1
Road,Latin_America,Europe,1084.7,28.0,7.4,0.2643,Standard,0.9885,37.3,51.8,21.1,0.7661,0.9226,1
Air,North_America,Middle_East,5821.4,31.4,29.3,0.9331,High,0.8431,29.6,32.6,74.2,0.398,0.7182,1
Ocean,Europe,Latin_America,7396.6,298.7,156.6,0.5243,High,0.8436,21.5,28.8,7.4,0.8123,0.3674,1
Ocean,Europe,Oceania,6140.5,273.3,258.0,0.944,Standard,0.7705,33.6,11.1,15.0,0.6286,0.059,1
Road,East_Asia,East_Asia,1043.6,22.3,7.0,0.3139,Standard,0.6525,12.8,41.4,34.5,0.0972,0.8378,1
Ocean,East_Asia,Europe,12448.4,462.8,49.8,0.1076,Standard,0.9331,60.3,38.4,13.3,0.5328,0.4828,1
Ocean,Southeast_Asia,Oceania,10576.2,401.8,226.3,0.5632,Standard,0.8111,23.6,29.9,36.7,0.3768,0.7697,1
Road,East_Asia,East_Asia,192.8,9.3,1.6,0.172,High,0.8966,24.1,23.9,37.5,0.1005,0.5414,1
Air,Middle_East,Latin_America,7622.8,34.3,31.4,0.9155,High,0.896,19.7,11.7,18.4,0.613,0.7413,1
Ocean,Southeast_Asia,North_America,10806.4,385.1,272.3,0.7071,High,0.8325,41.3,32.9,14.3,0.4455,0.3525,1
Ocean,East_Asia,Europe,9310.2,348.4,113.3,0.3252,Standard,0.8607,26.4,52.0,33.5,0.4249,0.4981,1
Ocean,Southeast_Asia,Europe,9165.5,346.2,298.4,0.8619,Standard,0.8308,45.8,18.2,29.2,0.3147,0.5644,1
Air,Latin_America,East_Asia,4874.9,33.8,26.6,0.787,Standard,0.7653,49.5,36.9,65.1,0.3335,0.2695,1
Rail,North_America,Europe,4566.8,138.7,69.3,0.4996,Urgent,0.9044,51.7,84.7,40.7,0.196,0.9728,1
Rail,South_Asia,South_Asia,2372.8,64.2,4.3,0.067,Standard,0.7872,44.5,20.2,27.7,0.0741,0.6336,1
Road,North_America,Latin_America,1692.1,34.5,8.0,0.2319,Standard,0.7482,21.9,7.5,18.5,0.6551,0.6921,1
Rail,Europe,Europe,4749.9,115.0,89.2,0.7757,High,0.6656,31.7,45.0,30.9,0.0778,0.4385,1
Rail,South_Asia,South_Asia,3581.6,100.4,22.8,0.2271,Urgent,0.99,38.3,34.2,63.6,0.1242,0.8545,1
Ocean,South_Asia,Oceania,12925.0,478.5,287.4,0.6006,Urgent,0.8184,4.1,24.1,26.9,0.2564,0.2734,1
Ocean,Europe,Latin_America,9380.0,341.3,242.1,0.7093,High,0.9613,67.9,12.7,29.1,0.7001,0.1812,1
Air,North_America,Middle_East,6256.0,24.7,6.5,0.2632,Standard,0.8422,15.4,90.8,5.2,0.2133,0.3532,1
Rail,South_Asia,South_Asia,5052.5,134.3,63.7,0.4743,High,0.8025,46.5,20.8,18.3,0.1249,0.5367,1
Air,Europe,Latin_America,6427.5,34.2,7.5,0.2193,Urgent,0.7383,21.9,25.6,41.5,0.2365,0.211,1
Ocean,Southeast_Asia,Oceania,15442.5,542.7,309.3,0.5699,High,0.935,84.9,46.2,40.9,0.3986,0.2014,1
Rail,North_America,Europe,2440.4,94.1,5.3,0.0563,High,0.99,30.6,21.5,11.3,0.4563,0.837,1
Ocean,Europe,Oceania,6677.1,252.8,95.1,0.3762,High,0.9337,41.1,13.3,43.1,0.3455,0.0582,1
Rail,North_America,North_America,3414.5,108.1,44.4,0.4107,Standard,0.8647,65.4,24.1,39.9,0.162,0.7667,1
Air,Europe,Oceania,8663.1,34.3,2.9,0.0845,Standard,0.9399,33.3,19.5,15.6,0.5903,0.3373,1
Road,North_America,Europe,2094.5,41.6,6.4,0.1538,Standard,0.7975,23.6,21.6,32.0,0.05,0.716,1
Air,Latin_America,Oceania,7069.6,43.6,32.7,0.75,High,0.7257,49.1,35.9,27.9,0.4733,0.9344,1
Air,North_America,Latin_America,2491.8,22.8,3.4,0.1491,High,0.8027,30.1,29.3,49.5,0.1869,0.5716,1
Air,East_Asia,Latin_America,10782.3,47.2,14.6,0.3093,Urgent,0.9116,33.0,54.5,15.6,0.4208,0.328,1
Air,East_Asia,Latin_America,9763.7,44.1,13.1,0.2971,High,0.8936,35.6,11.6,30.1,0.5665,0.6586,1
Ocean,Europe,Europe,17319.8,632.6,383.3,0.6059,Urgent,0.8793,32.1,10.5,43.3,0.1525,0.9034,1
Ocean,Europe,Oceania,9166.0,329.7,302.6,0.9178,Standard,0.6109,18.5,80.4,36.9,0.1873,0.4705,1
Road,Latin_America,Latin_America,1446.1,25.4,2.3,0.0906,High,0.99,56.3,56.9,17.1,0.1106,0.593,1
Air,Southeast_Asia,Europe,3746.2,30.8,14.5,0.4708,Standard,0.69,44.9,14.6,50.1,0.2219,0.2874,1
Rail,Europe,Europe,5976.7,136.3,44.9,0.3294,Urgent,0.9891,25.3,36.9,55.3,0.02,0.1367,1
Ocean,Southeast_Asia,Europe,8350.7,340.0,106.3,0.3126,High,0.6835,22.0,56.2,43.1,0.2372,0.9685,1
Air,East_Asia,Latin_America,3653.1,37.9,23.5,0.6201,High,0.8471,11.9,15.8,36.3,0.5896,0.4148,1
Road,Europe,Europe,430.5,13.2,5.1,0.3864,Standard,0.99,37.8,34.2,16.4,0.02,0.709,1
Ocean,Europe,Oceania,9657.1,354.6,58.2,0.1641,Standard,0.7692,12.4,33.5,10.0,0.4805,0.7052,1
Rail,South_Asia,South_Asia,2663.9,80.7,27.7,0.3432,High,0.99,38.6,77.5,26.9,0.085,0.7551,1
Ocean,East_Asia,Middle_East,15885.8,540.3,58.9,0.109,High,0.8095,17.1,65.9,35.5,0.4665,0.066,1
Air,Southeast_Asia,Latin_America,6835.0,40.9,39.8,0.9731,High,0.99,59.0,27.7,28.0,0.7631,0.3849,1
Ocean,East_Asia,Oceania,8713.0,332.8,283.4,0.8516,High,0.863,44.8,32.4,42.0,0.414,0.0825,1
Rail,South_Asia,North_America,4632.2,125.4,83.4,0.6651,Urgent,0.9522,25.8,20.8,17.8,0.0788,0.6633,0
Road,East_Asia,East_Asia,889.8,20.6,18.7,0.9078,Standard,0.7658,100.0,58.7,18.3,0.1429,0.2219,1
Rail,Europe,North_America,4070.7,109.6,10.5,0.0958,High,0.802,25.5,62.3,15.4,0.4128,0.2521,1
Ocean,South_Asia,Oceania,10078.1,392.7,153.3,0.3904,Urgent,0.7724,37.9,19.3,10.9,0.35,0.7834,1
Air,Latin_America,North_America,8818.8,31.9,12.2,0.3824,Standard,0.887,20.4,62.7,36.4,0.4995,0.9098,1
Rail,South_Asia,South_Asia,2769.2,67.6,14.5,0.2145,Standard,0.99,44.2,29.5,42.8,0.0735,0.6231,1
Ocean,East_Asia,Europe,14472.6,492.0,102.3,0.2079,Standard,0.9168,20.5,24.9,23.6,0.6866,0.8832,1
Ocean,East_Asia,Middle_East,7408.5,320.3,17.0,0.0531,Urgent,0.99,33.6,27.7,18.7,0.513,0.894,1
Rail,South_Asia,South_Asia,3315.4,110.2,40.1,0.3639,High,0.847,15.5,58.6,16.3,0.0865,0.4352,1
Road,Latin_America,Latin_America,1900.6,41.1,23.4,0.5693,High,0.637,26.3,20.7,47.4,0.1077,0.6812,1
Road,North_America,North_America,859.5,27.1,13.0,0.4797,Standard,0.8421,29.2,25.5,57.0,0.1359,0.5316,1
Road,North_America,North_America,1361.5,26.1,24.5,0.9387,Standard,0.8738,29.0,79.1,9.3,0.0809,0.735,1
Ocean,East_Asia,Middle_East,15016.3,536.8,112.7,0.2099,Standard,0.7524,16.9,29.5,5.0,0.3512,0.5424,1
Rail,North_America,North_America,1886.7,53.6,46.7,0.8713,Standard,0.99,47.5,20.5,7.1,0.0277,0.4192,0
Ocean,Southeast_Asia,North_America,4841.5,202.4,124.6,0.6156,Standard,0.8149,26.1,58.3,33.6,0.4378,0.0541,1
Road,North_America,Latin_America,1100.5,20.7,13.3,0.6425,Standard,0.7069,31.5,15.6,24.8,0.3571,0.2856,1
Air,Europe,Middle_East,7582.3,29.4,17.5,0.5952,Standard,0.99,25.0,13.2,32.2,0.6155,0.6736,1
Ocean,Europe,Oceania,8598.2,331.3,78.7,0.2375,High,0.6973,19.7,84.2,38.5,0.6033,0.2845,1
Rail,North_America,North_America,3126.5,103.6,36.5,0.3523,Standard,0.8783,43.7,44.2,23.8,0.2802,0.8471,1
