transport_mode,origin_region,destination_region,route_distance_km,planned_duration_hours,elapsed_transit_hours,transit_progress_pct,priority_level,carrier_reliability_score,origin_port_congestion_index,dest_port_congestion_index,weather_severity_index,customs_inspection_risk,seasonal_disruption_factor,disrupted,split
Ocean,East_Asia,North_America,8298.7,327.3,171.9,0.5252,Standard,0.8973,24.5,28.1,14.1,0.472,0.9777,1,train
Air,North_America,Latin_America,8280.4,41.0,25.9,0.6317,Standard,0.5441,1.8,39.8,49.4,0.2632,0.824,1,train
Ocean,East_Asia,Latin_America,11149.9,390.5,27.5,0.0704,High,0.6272,72.0,45.8,16.9,0.5932,0.6114,1,train
Road,North_America,North_America,681.7,20.0,7.2,0.36,Urgent,0.99,42.4,3.8,16.9,0.0445,0.9008,1,train
Rail,South_Asia,South_Asia,4841.9,111.7,17.4,0.1558,Urgent,0.9315,37.7,9.0,13.0,0.1092,0.9315,1,train
Air,Latin_America,Europe,7868.7,26.3,20.7,0.7871,Standard,0.8754,38.5,57.5,43.6,0.3879,0.8456,1,train
Rail,Europe,Europe,4419.4,129.0,75.9,0.5884,Standard,0.6848,100.0,53.5,9.4,0.1277,0.703,1,train
Ocean,East_Asia,Oceania,9820.3,379.6,348.9,0.9191,Standard,0.6989,22.7,19.8,41.4,0.5411,0.9588,1,train
Road,North_America,North_America,2284.9,43.2,23.9,0.5532,High,0.8115,36.6,13.4,31.6,0.1248,0.9523,1,train
Ocean,East_Asia,Latin_America,14145.7,503.0,328.3,0.6527,Standard,0.9127,100.0,32.3,63.9,0.535,0.3813,1,train
Ocean,Europe,Europe,6490.6,285.2,115.7,0.4057,High,0.99,20.7,50.6,58.2,0.1966,0.872,1,train
Rail,East_Asia,Europe,5981.8,145.7,80.0,0.5491,High,0.7883,18.9,5.4,19.6,0.3571,0.1245,0,train
Ocean,Southeast_Asia,Oceania,13177.5,477.8,99.6,0.2085,Standard,0.9121,57.3,43.4,32.9,0.7118,0.8456,1,train
Air,Middle_East,East_Asia,3582.6,31.4,24.7,0.7866,Standard,0.7788,63.8,36.3,23.1,0.4525,0.805,1,train
Rail,East_Asia,Europe,6298.2,138.1,48.8,0.3534,High,0.7861,22.7,45.3,25.4,0.1092,0.2439,1,train
Ocean,Europe,Oceania,9415.0,385.0,76.2,0.1979,Standard,0.99,29.6,34.3,22.1,0.3987,0.9084,1,train
Air,South_Asia,Middle_East,6917.4,31.2,22.0,0.7051,High,0.9819,56.3,48.9,31.6,0.5005,0.3016,1,train
Ocean,Southeast_Asia,Middle_East,8077.4,289.3,32.4,0.112,Standard,0.7559,26.3,21.2,21.1,0.5566,0.4631,1,train
Ocean,Europe,Latin_America,13794.5,484.5,405.8,0.8376,High,0.6338,28.9,24.7,34.0,0.3054,0.942,1,train
Ocean,East_Asia,Latin_America,14792.2,505.4,250.0,0.4947,Standard,0.5568,42.7,55.2,61.9,0.231,0.7218,1,train
Ocean,Southeast_Asia,North_America,10766.6,408.8,36.5,0.0893,Urgent,0.7805,15.7,37.9,48.2,0.3639,0.484,1,train
Ocean,East_Asia,Europe,12134.2,466.8,129.7,0.2778,Standard,0.8372,51.9,39.0,23.6,0.2588,0.7708,1,train
Road,North_America,Europe,587.7,22.7,20.3,0.8943,Standard,0.8047,62.0,52.8,11.0,0.1022,0.4973,1,train
Ocean,Europe,Latin_America,14910.7,522.7,426.3,0.8156,Standard,0.7665,49.9,21.3,38.7,0.2218,0.2603,1,train
Air,Europe,Latin_America,7909.6,31.2,24.8,0.7949,Standard,0.9017,39.3,64.1,40.7,0.6006,0.0592,1,train
Road,Latin_America,Latin_America,1113.9,25.5,2.2,0.0863,Standard,0.8878,24.0,42.7,32.3,0.1188,0.8954,1,train
Road,East_Asia,East_Asia,1064.6,20.7,3.2,0.1546,Standard,0.8208,11.0,28.0,16.9,0.1213,0.4008,0,train
Rail,South_Asia,South_Asia,2677.0,99.5,84.3,0.8472,High,0.4977,46.5,8.3,13.2,0.1324,0.251,1,train
Ocean,South_Asia,Europe,15034.4,524.3,113.1,0.2157,Standard,0.9756,37.2,17.0,19.1,0.6269,0.3251,1,train
Ocean,Southeast_Asia,Middle_East,15795.0,578.7,213.4,0.3688,Standard,0.799,39.4,20.0,8.3,0.3235,0.8805,1,train
Ocean,South_Asia,Europe,14925.7,560.0,467.1,0.8341,Standard,0.8494,70.7,13.2,39.5,0.9595,0.3762,1,train
Road,East_Asia,Europe,1785.4,29.8,22.8,0.7651,Urgent,0.9074,24.8,100.0,15.2,0.2184,0.3012,1,train
Ocean,South_Asia,Middle_East,12609.1,440.3,278.2,0.6318,High,0.8314,20.9,37.4,19.7,0.4566,0.4472,1,train
Road,East_Asia,East_Asia,2105.4,44.0,7.6,0.1727,High,0.7014,52.9,61.5,20.8,0.2141,0.3779,1,train
Rail,East_Asia,East_Asia,4229.0,124.4,71.2,0.5723,Standard,0.99,12.0,43.5,37.6,0.0786,0.7206,1,train
Road,Latin_America,Latin_America,2156.1,37.7,31.9,0.8462,High,0.7917,63.1,24.7,41.9,0.1633,0.6425,1,train
Ocean,East_Asia,Latin_America,11541.1,425.2,230.1,0.5412,Urgent,0.99,41.5,46.6,78.2,0.5214,0.1858,1,train
Rail,North_America,Europe,1265.0,57.8,54.1,0.936,Standard,0.812,24.6,28.2,36.6,0.8404,0.7342,1,train
Road,Latin_America,North_America,1652.9,34.2,12.3,0.3596,High,0.9269,22.0,61.6,13.3,0.6491,0.7161,1,train
Ocean,Southeast_Asia,Middle_East,11963.6,418.9,304.3,0.7264,Urgent,0.976,7.8,38.4,20.8,0.3187,0.7101,1,train
Air,Southeast_Asia,Oceania,9214.2,41.8,28.5,0.6818,Standard,0.8943,60.6,17.6,46.8,0.1729,0.1939,1,train
Road,Latin_America,Latin_America,476.7,11.2,1.2,0.1071,Standard,0.807,69.5,34.0,6.6,0.1757,0.4271,1,train
Rail,North_America,Europe,3677.8,118.7,28.1,0.2367,Standard,0.99,32.2,54.4,12.4,0.3783,0.6604,1,train
Air,North_America,Oceania,9411.2,38.0,10.3,0.2711,High,0.7016,66.7,48.9,21.9,0.5741,0.5635,1,train
Air,East_Asia,Europe,7813.7,38.8,36.5,0.9407,Standard,0.99,13.6,49.3,37.1,0.32,0.4452,1,train
Road,North_America,North_America,1471.0,27.7,10.4,0.3755,Standard,0.9627,45.3,26.7,21.2,0.1067,0.9672,1,train
Road,East_Asia,East_Asia,602.3,14.4,9.1,0.6319,High,0.8125,64.4,24.6,16.2,0.2217,0.5852,1,train
Air,North_America,Europe,5692.0,41.6,23.5,0.5649,Standard,0.9355,18.8,25.6,28.2,0.2361,0.0605,1,train
Ocean,Europe,Oceania,9646.6,347.6,205.2,0.5903,Urgent,0.9617,28.2,32.5,18.0,0.2121,0.2282,1,train
Road,East_Asia,East_Asia,1290.9,30.4,17.6,0.5789,Standard,0.99,42.7,79.6,24.5,0.0501,0.5507,1,train
Ocean,South_Asia,Oceania,12661.7,439.0,383.7,0.874,Standard,0.8572,34.0,22.2,45.3,0.711,0.1062,1,train
Air,Southeast_Asia,Oceania,10424.0,42.7,18.3,0.4286,Urgent,0.7755,35.6,9.0,44.5,0.5472,0.9189,1,train
Rail,East_Asia,North_America,500.0,25.9,4.7,0.1815,Standard,0.7687,45.6,20.1,25.1,0.3003,0.0676,1,train
Air,Southeast_Asia,Latin_America,3808.9,17.3,5.2,0.3006,Standard,0.9343,29.1,41.4,6.3,0.4509,0.4282,1,train
Rail,Europe,Europe,2404.7,92.2,37.6,0.4078,Urgent,0.783,32.4,15.3,20.0,0.0768,0.8378,1,train
Road,North_America,North_America,1857.3,39.0,4.4,0.1128,Standard,0.8769,86.9,34.4,15.6,0.1286,0.1303,1,train
Road,Europe,Europe,1748.2,40.5,5.6,0.1383,Standard,0.8309,55.3,24.3,18.5,0.0988,0.2517,1,train
Rail,Europe,Europe,4410.9,101.4,93.0,0.9172,Standard,0.8011,50.3,30.0,79.5,0.0897,0.4553,1,train
Road,Europe,Europe,1800.0,34.8,3.5,0.1006,Standard,0.765,33.1,73.1,29.3,0.1731,0.3924,1,train
Road,Latin_America,Latin_America,872.6,19.4,1.8,0.0928,Standard,0.864,34.2,26.4,7.9,0.1602,0.0908,0,train
Air,Middle_East,East_Asia,2989.3,34.8,25.8,0.7414,High,0.8571,7.3,18.2,0.6,0.5274,0.3297,0,train
Ocean,Southeast_Asia,North_America,9768.3,366.9,303.7,0.8277,Standard,0.6896,42.4,23.5,12.5,0.1843,0.5769,1,train
Air,East_Asia,Middle_East,6361.2,29.8,23.5,0.7886,High,0.9661,21.8,31.6,7.6,0.4693,0.2082,0,train
Road,North_America,North_America,718.4,24.4,15.1,0.6189,High,0.8281,23.2,67.4,32.6,0.0998,0.6749,1,train
Road,Europe,Europe,1624.3,37.1,35.5,0.9569,High,0.7951,30.3,15.1,24.1,0.1066,0.6099,1,train
Ocean,East_Asia,Latin_America,14677.9,549.3,350.1,0.6374,Standard,0.9076,9.0,17.6,8.2,0.5352,0.921,1,train
Air,Middle_East,Europe,7280.5,43.3,3.4,0.0785,Standard,0.9618,12.3,15.2,13.7,0.3519,0.4844,0,train
Ocean,South_Asia,North_America,13848.9,520.3,34.0,0.0653,Standard,0.6936,31.1,13.4,36.0,0.3559,0.4048,1,train
Ocean,South_Asia,Middle_East,6394.6,266.9,186.9,0.7003,Urgent,0.8334,23.0,31.5,31.8,0.4996,0.6791,1,train
Road,Latin_America,Latin_America,1602.3,35.2,8.5,0.2415,High,0.6568,37.5,8.4,27.5,0.0469,0.3735,1,train
Ocean,Europe,Europe,10120.2,393.3,236.7,0.6018,High,0.8149,7.4,11.3,16.9,0.1435,0.7236,1,train
Ocean,South_Asia,Middle_East,16494.9,585.2,307.6,0.5256,Standard,0.99,29.4,24.2,27.1,0.5276,0.9104,1,train
Air,Southeast_Asia,East_Asia,8563.2,34.0,28.8,0.8471,High,0.6964,13.7,18.8,21.6,0.5105,0.3832,1,train
Road,North_America,North_America,394.2,15.1,9.5,0.6291,Urgent,0.9165,15.1,23.3,2.5,0.1667,0.1695,0,train
Ocean,Southeast_Asia,North_America,9945.0,371.4,58.1,0.1564,Urgent,0.7342,88.3,19.3,59.6,0.6472,0.82,1,train
Road,North_America,North_America,1161.4,21.2,11.2,0.5283,Standard,0.8795,55.9,44.9,16.4,0.0515,0.3649,1,train
Road,Europe,Europe,1513.8,25.8,20.0,0.7752,Standard,0.7734,27.4,75.4,20.5,0.1649,0.9543,1,train
Rail,East_Asia,East_Asia,1456.5,61.6,8.0,0.1299,Standard,0.8597,9.7,55.7,59.5,0.1792,0.9446,1,train
Air,South_Asia,Europe,4668.4,41.8,10.9,0.2608,Standard,0.868,29.5,19.1,6.9,0.4768,0.4205,1,train
Air,Europe,North_America,8398.0,40.6,23.8,0.5862,Standard,0.8437,25.0,41.2,4.4,0.147,0.6299,1,train
Road,East_Asia,East_Asia,150.0,16.6,5.5,0.3313,Standard,0.6247,17.2,40.6,12.3,0.0515,0.9178,1,train
Road,Latin_America,Latin_America,871.0,22.9,16.2,0.7074,Urgent,0.8525,34.0,75.3,40.5,0.02,0.4086,1,train
Air,Southeast_Asia,Latin_America,3519.8,37.2,5.6,0.1505,Standard,0.8542,32.9,39.3,18.2,0.3351,0.8629,1,train
Air,North_America,Middle_East,4101.2,32.3,16.5,0.5108,Standard,0.8232,23.3,15.1,24.1,0.3574,0.7249,1,train
Road,Latin_America,Latin_America,1433.6,28.4,2.8,0.0986,Standard,0.7364,35.3,19.5,47.4,0.1725,0.8554,1,train
Air,South_Asia,East_Asia,4347.9,18.4,15.7,0.8533,Standard,0.8871,5.6,33.7,34.2,0.4547,0.3432,1,train
Rail,East_Asia,North_America,2880.4,72.2,34.6,0.4792,Standard,0.8983,25.4,33.5,42.6,0.5178,0.61,1,train
Ocean,Southeast_Asia,Middle_East,11172.5,406.5,50.0,0.123,High,0.7578,23.4,51.0,0.9,0.3472,0.2042,1,train
Road,Europe,Europe,150.0,15.2,14.2,0.9342,High,0.8712,21.2,52.5,38.1,0.1869,0.5862,1,train
Air,South_Asia,Europe,4670.5,41.1,32.2,0.7835,Urgent,0.8453,50.9,59.6,20.4,0.4691,0.9161,1,train
Road,Europe,Europe,1798.9,31.6,4.5,0.1424,High,0.9311,100.0,20.6,39.9,0.1306,0.8489,1,train
Air,Middle_East,Europe,8047.0,34.1,3.0,0.088,Standard,0.7953,56.7,6.0,20.0,0.2282,0.3376,1,train
Air,East_Asia,Middle_East,7318.0,32.4,21.7,0.6698,Standard,0.8072,29.2,100.0,16.3,0.4094,0.0972,1,train
Rail,East_Asia,East_Asia,1804.3,65.7,10.2,0.1553,Standard,0.6675,38.9,52.0,19.8,0.1407,0.4488,1,train
Ocean,Europe,Latin_America,6639.8,266.9,188.3,0.7055,Urgent,0.9757,29.8,17.4,86.4,0.6457,0.8984,1,train
Air,Latin_America,North_America,3529.2,24.1,14.8,0.6141,Standard,0.9369,46.2,19.1,39.5,0.1192,0.8898,1,train
Ocean,Europe,Europe,13950.9,492.4,288.3,0.5855,High,0.6632,66.0,9.3,7.7,0.1414,0.6767,1,train
Ocean,Europe,Latin_America,14078.2,508.2,162.0,0.3188,High,0.99,19.0,7.0,30.1,0.3751,0.0718,1,train
Rail,Europe,Europe,3604.9,93.4,74.5,0.7976,Standard,0.8914,22.7,58.8,4.4,0.0625,0.6487,1,train
Road,Europe,Europe,878.5,18.0,10.6,0.5889,High,0.99,61.6,20.4,31.4,0.1325,0.2848,1,train
Ocean,East_Asia,Oceania,8470.6,313.2,302.5,0.9658,Standard,0.8085,24.2,45.2,20.3,0.4592,0.9552,1,train
Ocean,East_Asia,North_America,15733.6,530.4,66.8,0.1259,Standard,0.9503,24.9,40.1,40.7,0.617,0.8044,1,train
Ocean,South_Asia,Oceania,5372.5,238.5,209.8,0.8797,Standard,0.7819,70.7,32.3,22.4,0.2308,0.4228,1,train
Ocean,South_Asia,Oceania,9071.0,362.4,341.9,0.9434,Standard,0.843,34.6,34.2,11.7,0.203,0.5772,1,train
Road,North_America,Latin_America,1345.6,32.5,27.8,0.8554,High,0.99,66.0,45.9,47.1,0.4658,0.604,1,train
Ocean,East_Asia,North_America,9878.1,357.8,245.1,0.685,High,0.8144,68.4,16.9,30.6,0.3767,0.8962,1,train
Road,East_Asia,Latin_America,2049.3,38.9,4.0,0.1028,Standard,0.9438,20.9,49.7,58.4,0.3876,0.5922,1,train
Ocean,South_Asia,Europe,10884.5,431.2,106.9,0.2479,High,0.7489,61.7,39.1,19.6,0.4676,0.6723,1,train
Ocean,Southeast_Asia,Middle_East,14541.0,517.8,347.6,0.6713,Urgent,0.9747,25.3,46.5,54.3,0.382,0.1384,1,train
Road,Europe,Europe,1667.1,35.4,6.2,0.1751,Standard,0.8363,37.5,37.1,33.5,0.1334,0.3191,1,train
Air,South_Asia,North_America,7369.3,41.8,33.0,0.7895,Standard,0.9891,51.5,77.1,42.2,0.0722,0.1584,1,train
Road,Europe,Europe,662.8,17.3,5.7,0.3295,High,0.5976,7.8,58.8,61.1,0.1526,0.2123,1,train
Ocean,East_Asia,Oceania,8361.9,305.7,140.9,0.4609,Urgent,0.99,37.5,17.8,10.6,0.3614,0.2452,0,train
Rail,Europe,East_Asia,4588.2,113.0,103.1,0.9124,High,0.7285,18.0,42.7,23.9,0.5783,0.3302,1,train
Ocean,Europe,Latin_America,9745.1,368.4,233.0,0.6325,Urgent,0.8735,51.5,15.6,35.4,0.3965,0.8508,1,train
Ocean,Southeast_Asia,Oceania,4446.9,175.8,119.8,0.6815,High,0.7001,36.0,17.7,32.1,0.4267,0.664,1,train
Ocean,South_Asia,North_America,13547.2,483.9,31.4,0.0649,Standard,0.99,24.6,16.0,50.5,0.5316,0.1587,1,train
Rail,South_Asia,South_Asia,6343.8,144.9,132.9,0.9172,High,0.7285,18.7,25.3,21.9,0.0586,0.6184,1,train
Air,North_America,Oceania,9105.8,41.9,39.5,0.9427,Standard,0.9216,46.0,25.3,19.9,0.2083,0.4864,1,train
Air,North_America,Oceania,5613.3,28.2,7.0,0.2482,High,0.99,54.8,24.6,41.0,0.572,0.4087,1,train
Ocean,South_Asia,Europe,10961.0,397.4,295.7,0.7441,Standard,0.9842,37.6,42.4,47.0,0.2702,0.2515,1,train
Road,Europe,Europe,1642.3,37.2,19.4,0.5215,Standard,0.9262,38.9,40.9,8.8,0.1749,0.8585,1,train
Air,North_America,Oceania,5488.7,35.1,7.1,0.2023,Urgent,0.8942,65.7,32.8,4.4,0.349,0.2792,1,train
Road,North_America,North_America,1410.8,33.8,14.4,0.426,High,0.8647,31.6,8.3,14.0,0.0805,0.7296,0,train
Air,Southeast_Asia,Latin_America,5846.2,33.4,14.0,0.4192,High,0.99,10.5,34.5,24.9,0.2718,0.9166,1,train
Ocean,Europe,Oceania,10600.8,387.2,171.5,0.4429,Urgent,0.5767,13.5,22.6,23.4,0.267,0.6965,1,train
Air,Southeast_Asia,Oceania,8115.2,34.4,3.0,0.0872,Standard,0.9282,52.3,32.7,72.9,0.3394,0.1966,1,train
Ocean,South_Asia,North_America,12023.5,445.2,304.9,0.6849,Standard,0.8207,2.1,5.1,18.3,0.2613,0.1145,0,train
Road,North_America,North_America,1342.6,27.1,2.2,0.0812,High,0.8526,56.3,76.9,25.6,0.1377,0.4823,1,train
Ocean,South_Asia,Latin_America,10682.5,386.2,251.8,0.652,High,0.8497,29.9,53.1,6.8,0.7012,0.4879,1,train
Ocean,Southeast_Asia,Europe,18342.8,632.7,416.1,0.6577,High,0.9074,43.0,54.6,13.3,0.4504,0.2834,1,train
Road,North_America,North_America,590.2,20.4,17.6,0.8627,High,0.8883,67.7,31.5,28.3,0.1896,0.1067,1,train
Ocean,East_Asia,North_America,8815.1,363.2,102.2,0.2814,Standard,0.9128,32.8,23.5,68.5,0.98,0.8275,1,train
Rail,North_America,East_Asia,500.0,45.7,39.2,0.8578,Standard,0.9101,14.2,33.0,60.4,0.5897,0.9114,1,train
Air,Latin_America,North_America,7215.6,44.6,5.3,0.1188,High,0.8762,36.5,29.1,19.1,0.3617,0.2036,1,train
Ocean,East_Asia,Latin_America,15685.3,540.9,105.2,0.1945,Standard,0.8441,35.3,14.0,22.0,0.4643,0.5512,1,train
Ocean,Europe,Europe,7405.9,275.4,183.5,0.6663,Standard,0.99,22.7,100.0,36.6,0.1758,0.619,1,train
Ocean,Southeast_Asia,Oceania,8683.5,347.2,127.9,0.3684,High,0.8587,44.9,13.9,34.3,0.3247,0.6242,1,train
Road,East_Asia,East_Asia,627.2,18.6,6.0,0.3226,Standard,0.8154,22.4,24.4,17.0,0.02,0.7215,0,train
Air,Southeast_Asia,North_America,8004.3,41.0,25.2,0.6146,High,0.8477,20.7,32.9,68.2,0.3345,0.617,1,train
Road,East_Asia,North_America,277.4,18.4,4.1,0.2228,Standard,0.6308,20.2,8.3,45.6,0.5779,0.7239,1,train
Ocean,Europe,North_America,9400.0,361.1,154.9,0.429,Standard,0.9089,53.5,12.7,20.3,0.05,0.6338,1,train
Ocean,East_Asia,Oceania,11657.0,453.9,443.2,0.9764,Standard,0.5467,77.6,19.7,28.3,0.5201,0.4873,1,train
Ocean,Europe,Oceania,9127.2,362.4,258.5,0.7133,High,0.7991,16.1,22.9,36.6,0.4667,0.439,1,train
Ocean,Europe,Europe,8580.6,318.8,237.9,0.7462,High,0.8393,83.6,19.1,14.6,0.2087,0.8406,1,train
Ocean,East_Asia,Europe,13108.0,460.6,167.7,0.3641,High,0.99,36.7,64.2,29.7,0.3631,0.2619,1,train
Road,East_Asia,Europe,1643.7,27.5,10.9,0.3964,Urgent,0.8547,13.4,51.0,53.1,0.5785,0.66,1,train
Air,Southeast_Asia,Middle_East,2706.8,28.1,22.9,0.8149,Urgent,0.7885,50.5,59.7,27.9,0.2605,0.972,1,train
Rail,South_Asia,South_Asia,3317.1,102.2,76.5,0.7485,High,0.8771,27.3,51.8,51.6,0.2351,0.2534,1,train
Ocean,East_Asia,North_America,5192.2,241.9,183.9,0.7602,Standard,0.9544,30.1,19.1,7.7,0.4332,0.9699,1,train
Road,North_America,North_America,877.6,21.0,13.5,0.6429,Standard,0.976,39.3,44.5,47.7,0.0813,0.6977,1,train
Rail,North_America,Europe,4148.6,126.5,49.4,0.3905,Standard,0.99,23.2,100.0,71.3,0.3502,0.7514,1,train
Ocean,East_Asia,Oceania,6326.1,284.2,134.6,0.4736,Standard,0.99,38.0,28.5,23.4,0.7277,0.3623,1,train
Road,Latin_America,Latin_America,772.6,17.9,8.4,0.4693,Standard,0.8544,23.8,36.6,31.7,0.1334,0.505,1,train
Road,Europe,Europe,1829.4,39.9,22.7,0.5689,High,0.8922,11.8,57.5,14.1,0.04,0.8937,1,train
Rail,North_America,North_America,3406.5,82.6,9.0,0.109,Standard,0.8176,56.3,87.1,14.4,0.1286,0.6943,1,train
Ocean,East_Asia,Europe,12436.1,470.6,168.0,0.357,High,0.6972,42.5,68.3,39.1,0.575,0.9699,1,train
Road,Europe,Europe,1855.7,38.1,36.5,0.958,Standard,0.99,15.2,10.5,12.5,0.1817,0.7843,0,train
Ocean,East_Asia,Europe,10891.0,409.5,269.6,0.6584,High,0.9312,73.2,12.0,50.3,0.391,0.5252,1,train
Ocean,East_Asia,Oceania,9063.2,372.0,51.9,0.1395,Standard,0.6496,35.2,37.7,10.1,0.3767,0.658,1,train
Ocean,East_Asia,Europe,8670.7,310.7,91.8,0.2955,High,0.99,44.2,28.4,6.3,0.6703,0.8562,1,train
Ocean,South_Asia,Europe,10632.1,392.5,38.9,0.0991,Standard,0.7736,18.5,85.7,41.2,0.3291,0.9014,1,train
Road,East_Asia,East_Asia,1603.7,33.3,21.2,0.6366,Standard,0.7292,54.7,40.9,39.0,0.0249,0.556,1,train
Ocean,Europe,Middle_East,13951.7,499.6,94.8,0.1898,High,0.9262,21.7,98.9,14.6,0.2037,0.9322,1,train
Road,Europe,Europe,825.0,24.4,12.3,0.5041,High,0.7688,41.1,33.3,11.2,0.1602,0.6777,1,train
Ocean,Europe,Oceania,6399.1,266.5,236.8,0.8886,Standard,0.806,35.7,44.2,37.5,0.5713,0.1787,1,train
Rail,South_Asia,South_Asia,3781.0,103.4,5.4,0.0522,Urgent,0.7643,16.7,36.1,16.1,0.1615,0.7548,1,train
Ocean,Europe,Middle_East,9782.1,396.1,200.0,0.5049,Standard,0.7982,13.4,24.8,43.8,0.1398,0.9446,1,train
Rail,Europe,Europe,3434.6,102.3,33.6,0.3284,Standard,0.8603,6.9,28.1,36.3,0.1787,0.7231,1,train
Rail,Europe,Europe,3627.9,118.7,114.1,0.9612,Standard,0.9672,21.1,28.8,63.2,0.1778,0.5102,1,train
Road,Latin_America,Latin_America,883.5,21.5,11.0,0.5116,Urgent,0.9618,43.2,18.2,6.6,0.1509,0.8806,1,train
Ocean,East_Asia,North_America,10383.8,388.8,22.5,0.0579,High,0.7829,56.3,45.3,36.0,0.341,0.9359,1,train
Air,Middle_East,North_America,8376.8,31.9,25.0,0.7837,Standard,0.9887,67.8,10.8,11.1,0.108,0.8614,1,train
Rail,North_America,Europe,701.9,52.1,14.4,0.2764,Standard,0.9508,12.5,43.5,41.4,0.568,0.7985,1,train
Ocean,Southeast_Asia,Middle_East,9989.1,367.5,346.8,0.9437,Standard,0.8003,32.2,74.0,13.1,0.6029,0.834,1,train
Ocean,East_Asia,North_America,9263.8,368.1,200.4,0.5444,High,0.8374,36.4,55.1,38.6,0.434,0.6411,1,train
Ocean,East_Asia,Oceania,7363.5,268.0,225.8,0.8425,High,0.7362,52.0,27.8,17.7,0.1546,0.2687,1,train
Rail,Europe,Europe,2699.6,99.1,62.2,0.6276,Standard,0.7711,18.8,42.9,32.4,0.082,0.2079,1,train
Ocean,Europe,Europe,8147.7,298.9,136.7,0.4573,Urgent,0.9041,19.0,10.3,32.9,0.118,0.7877,1,train
Rail,Europe,Europe,5613.3,128.0,120.7,0.943,High,0.8622,42.8,62.1,51.3,0.1527,0.0803,1,train
Ocean,East_Asia,Middle_East,14104.0,504.8,164.5,0.3259,Standard,0.8008,28.1,42.1,25.2,0.8195,0.7447,1,train
Road,Europe,Latin_America,344.3,16.3,9.3,0.5706,Standard,0.9332,31.2,44.2,5.2,0.05,0.7853,1,train
Air,South_Asia,Middle_East,5799.8,27.2,2.7,0.0993,Standard,0.99,36.9,59.4,6.6,0.2526,0.6315,1,train
Ocean,East_Asia,North_America,11150.2,444.4,326.8,0.7354,Standard,0.879,56.9,42.0,20.7,0.6623,0.606,1,train
Rail,East_Asia,East_Asia,2711.6,95.7,21.5,0.2247,Standard,0.9163,27.7,100.0,28.6,0.0885,0.5848,1,train
Air,North_America,Oceania,2172.9,23.2,16.2,0.6983,Urgent,0.9369,44.3,11.6,10.5,0.4415,0.132,0,train
Air,Southeast_Asia,North_America,11576.8,50.0,16.0,0.32,High,0.7269,14.1,29.3,32.5,0.5143,0.9403,1,train
Road,Latin_America,Latin_America,1795.5,39.8,38.2,0.9598,Standard,0.8594,88.7,9.3,30.9,0.0594,0.4572,1,train
Ocean,Southeast_Asia,Latin_America,14985.1,512.1,437.6,0.8545,High,0.8924,23.3,51.2,8.9,0.3821,0.4652,1,train
Ocean,Southeast_Asia,Europe,14745.3,513.7,89.3,0.1738,Standard,0.702,20.8,15.6,24.9,0.2557,0.6772,1,train
Road,Latin_America,Latin_America,690.7,14.5,3.3,0.2276,Standard,0.7633,56.1,60.2,11.7,0.0647,0.7847,1,train
Air,North_America,Latin_America,5974.5,41.0,36.7,0.8951,Standard,0.6921,30.3,32.3,7.9,0.3485,0.8631,1,train
Ocean,South_Asia,Europe,11811.0,407.7,224.9,0.5516,High,0.9618,42.2,41.6,3.9,0.7464,0.4259,1,train
Rail,North_America,North_America,4276.0,117.4,13.7,0.1167,High,0.99,21.6,37.8,20.0,0.1107,0.2779,0,train
Road,Europe,Europe,1000.0,20.7,2.2,0.1063,Standard,0.7409,28.3,45.5,27.3,0.1286,0.3131,1,train
Rail,Europe,Europe,2349.5,68.8,59.2,0.8605,Urgent,0.8342,51.6,35.2,43.3,0.142,0.8045,1,train
Ocean,Europe,Middle_East,3500.0,193.5,10.5,0.0543,Standard,0.794,40.3,7.0,22.9,0.731,0.0946,1,train
Ocean,Europe,Europe,7731.7,282.6,201.6,0.7134,Standard,0.7988,13.5,29.9,7.1,0.1795,0.4822,1,train
Road,Latin_America,Latin_America,1994.1,36.5,5.9,0.1616,Standard,0.9053,22.3,12.0,45.6,0.1343,0.5811,1,train
Ocean,South_Asia,Europe,8153.5,312.7,275.1,0.8798,Standard,0.8713,23.0,48.1,11.1,0.7931,0.7096,1,train
Ocean,Europe,Middle_East,14139.9,491.5,305.0,0.6205,Standard,0.7202,18.3,78.0,26.1,0.5855,0.6295,1,train
Road,North_America,North_America,286.0,19.7,11.0,0.5584,Standard,0.8599,7.7,32.7,46.1,0.2167,0.2122,1,train
Ocean,East_Asia,Middle_East,10088.5,364.8,344.4,0.9441,Urgent,0.6843,23.4,18.2,33.9,0.4187,0.1309,1,train
Road,North_America,Europe,652.3,16.8,14.3,0.8512,Standard,0.9279,46.7,74.2,12.8,0.2733,0.7785,1,train
Rail,Europe,Europe,3885.6,103.7,59.9,0.5776,High,0.8509,39.1,71.8,31.8,0.0966,0.8965,1,train
Road,East_Asia,North_America,1556.2,34.9,32.3,0.9255,Standard,0.882,100.0,63.6,15.9,0.366,0.1022,1,train
Air,Europe,East_Asia,5382.9,28.4,4.1,0.1444,Urgent,0.9763,38.0,12.7,77.4,0.796,0.1738,1,train
Ocean,South_Asia,North_America,12970.9,499.1,57.8,0.1158,High,0.99,60.1,21.2,37.1,0.05,0.2745,1,train
Ocean,East_Asia,Middle_East,15165.5,541.8,226.7,0.4184,Standard,0.9757,38.3,16.3,25.3,0.7597,0.917,1,train
